iter	MultiClass
0	1.094808183
1	1.089767191
2	1.085668479
3	1.082317626
4	1.077964372
5	1.073072318
6	1.068116888
7	1.063974012
8	1.059583028
9	1.057580926
10	1.053232157
11	1.050636327
12	1.046827773
13	1.04280051
14	1.039480091
15	1.035759351
16	1.03128423
17	1.026920393
18	1.023543164
19	1.020826115
20	1.016352831
21	1.012216268
22	1.008853415
23	1.004906239
24	1.001514889
25	0.9970184324
26	0.9952719073
27	0.9919438749
28	0.9884889982
29	0.9854689818
30	0.9820176194
31	0.9792303294
32	0.9784985171
33	0.9749079298
34	0.9724043432
35	0.9688649395
36	0.9659625341
37	0.9632817422
38	0.960300185
39	0.9553564401
40	0.9527932959
41	0.9492956366
42	0.9469421298
43	0.9444055417
44	0.9415821746
45	0.9384590972
46	0.9365292864
47	0.9345170886
48	0.9311869342
49	0.9289595974
50	0.925759227
51	0.9243522451
52	0.9230373455
53	0.920051452
54	0.9163402682
55	0.9148226736
56	0.9132347002
57	0.9106577381
58	0.9080229299
59	0.9057674815
60	0.9036888377
61	0.9019092877
62	0.8996345024
63	0.8973374689
64	0.8951953995
65	0.8929082523
66	0.8913946442
67	0.8887849437
68	0.8855403716
69	0.8828734608
70	0.8795093456
71	0.8767437012
72	0.8749253861
73	0.8710355069
74	0.8685955116
75	0.8652297376
76	0.8632002975
77	0.8603850498
78	0.8580273566
79	0.8552860206
80	0.8547863528
81	0.8519590089
82	0.8491472937
83	0.8474301012
84	0.8457279112
85	0.8443683108
86	0.8414258491
87	0.840027745
88	0.8382182815
89	0.835278203
90	0.8330560105
91	0.8306090774
92	0.8288514304
93	0.8268029903
94	0.8257269463
95	0.8232840328
96	0.8210455375
97	0.8199210975
98	0.8172735559
99	0.8144634704
100	0.8108522514
101	0.8087160429
102	0.8070821636
103	0.8053331855
104	0.8029057298
105	0.7999150811
106	0.7984281558
107	0.7967101783
108	0.7939002673
109	0.7916555872
110	0.788899411
111	0.7864835299
112	0.7845028308
113	0.7822669203
114	0.7792657685
115	0.7767613786
116	0.7735515445
117	0.7708361116
118	0.7684247217
119	0.7661559665
120	0.763669435
121	0.7620689303
122	0.7594332374
123	0.7568149062
124	0.7556892103
125	0.7538654271
126	0.7520101495
127	0.7508694703
128	0.7508353482
129	0.7482742685
130	0.7463097348
131	0.7440677232
132	0.7415365466
133	0.7385261097
134	0.736956255
135	0.7345801333
136	0.7327643463
137	0.7305822527
138	0.7283710066
139	0.7265545509
140	0.725429024
141	0.7229257125
142	0.7210179098
143	0.7193823262
144	0.7176681331
145	0.7162173906
146	0.7149456153
147	0.7125571009
148	0.711140808
149	0.7100753147
150	0.7087759328
151	0.7068516036
152	0.7048333236
153	0.7033717985
154	0.7014446689
155	0.7000524445
156	0.6982184114
157	0.6963055044
158	0.6945925149
159	0.6937210867
