iter	Passed	Remaining
0	56	28337
1	58	14458
2	59	9799
3	60	7497
4	62	6139
5	63	5203
6	64	4528
7	65	4042
8	66	3650
9	67	3299
10	68	3033
11	69	2819
12	70	2629
13	71	2479
14	72	2340
15	73	2220
16	74	2114
17	75	2016
18	76	1930
19	77	1855
20	79	1802
21	80	1750
22	81	1686
23	82	1634
24	83	1587
25	84	1542
26	85	1491
27	85	1449
28	87	1413
29	87	1377
30	88	1341
31	89	1310
32	89	1270
33	90	1245
34	91	1219
35	92	1196
36	93	1172
37	94	1149
38	95	1129
39	96	1110
40	97	1092
41	98	1073
42	99	1055
43	100	1038
44	101	1021
45	101	1004
46	102	991
47	103	977
48	104	963
49	105	950
50	106	938
51	107	926
52	107	909
53	108	899
54	110	891
55	111	884
56	112	873
57	113	862
58	114	852
59	114	842
60	115	833
61	116	825
62	117	817
63	118	809
64	119	802
65	121	799
66	122	792
67	124	788
68	125	781
69	125	773
70	127	769
71	128	762
72	129	755
73	130	749
74	131	743
75	132	736
76	132	730
77	133	724
78	135	721
79	136	716
80	137	709
81	138	704
82	138	698
83	139	692
84	141	690
85	141	683
86	142	677
87	143	672
88	144	667
89	145	662
90	146	659
91	147	655
92	148	651
93	149	646
94	150	641
95	151	637
96	152	633
97	152	626
98	153	622
99	154	618
100	155	614
101	156	610
102	157	605
103	158	602
104	159	598
105	160	595
106	161	592
107	162	588
108	163	585
109	164	582
110	165	579
111	166	575
112	167	572
113	167	568
114	168	565
115	170	563
116	171	560
117	172	557
118	173	554
119	174	551
120	174	547
121	175	543
122	176	540
123	177	537
124	178	535
125	179	531
126	180	529
127	181	527
128	181	522
129	182	519
130	183	516
131	184	513
132	185	510
133	185	507
134	186	505
135	187	503
136	188	500
137	189	497
138	190	495
139	191	493
140	192	490
141	193	488
142	194	485
143	195	483
144	196	480
145	197	478
146	198	476
147	199	474
148	200	471
149	201	469
150	202	467
151	202	464
152	203	462
153	204	460
154	205	457
155	206	455
156	207	453
157	208	451
158	209	449
159	210	447
